,symbol,probes,importance,enhancer,['MYCNA'],['MYCNA']_ratio,['MYCNA']_imp,['MYCNA']_imp_ratio,['MYCNA']_enha,['MYCNA']_enha_ratio,['4'],['4']_ratio,['4']_imp,['4']_imp_ratio,['4']_enha,['4']_enha_ratio,['4s'],['4s']_ratio,['4s']_imp,['4s']_imp_ratio,['4s']_enha,['4s']_enha_ratio,['other'],['other']_ratio,['other']_imp,['other']_imp_ratio,['other']_enha,['other']_enha_ratio,"['4', 'MYCNA']","['4', 'MYCNA']_ratio","['4', 'MYCNA']_imp","['4', 'MYCNA']_imp_ratio","['4', 'MYCNA']_enha","['4', 'MYCNA']_enha_ratio"
NM_002981,CCL1,36.0,15.0,2.0,2.0,0.05555555555555555,0.0,0.0,0.0,0.0,15.0,0.4166666666666667,11.0,0.7333333333333333,2.0,1.0,15.0,0.4166666666666667,11.0,0.7333333333333333,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,0.0,0.0
NM_001098668,SFTPA2,17.0,7.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,5.0,0.29411764705882354,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.7058823529411765,7.0,1.0,0.0,0.0
NM_001171174,CX3CR1,42.0,17.0,2.0,3.0,0.07142857142857142,2.0,0.11764705882352941,0.0,0.0,10.0,0.23809523809523808,7.0,0.4117647058823529,2.0,1.0,15.0,0.35714285714285715,9.0,0.5294117647058824,2.0,1.0,2.0,0.047619047619047616,0.0,0.0,0.0,0.0,4.0,0.09523809523809523,4.0,0.23529411764705882,0.0,0.0
NM_001171171,CX3CR1,42.0,17.0,2.0,3.0,0.07142857142857142,2.0,0.11764705882352941,0.0,0.0,10.0,0.23809523809523808,7.0,0.4117647058823529,2.0,1.0,15.0,0.35714285714285715,9.0,0.5294117647058824,2.0,1.0,2.0,0.047619047619047616,0.0,0.0,0.0,0.0,4.0,0.09523809523809523,4.0,0.23529411764705882,0.0,0.0
NM_005928,MFGE8,58.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.27586206896551724,8.0,0.34782608695652173,4.0,0.4,14.0,0.2413793103448276,11.0,0.4782608695652174,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.15517241379310345,6.0,0.2608695652173913,5.0,0.5
NM_001310320,MFGE8,58.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.27586206896551724,8.0,0.34782608695652173,4.0,0.4,14.0,0.2413793103448276,11.0,0.4782608695652174,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.15517241379310345,6.0,0.2608695652173913,5.0,0.5
NM_001114614,MFGE8,58.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.27586206896551724,8.0,0.34782608695652173,4.0,0.4,14.0,0.2413793103448276,11.0,0.4782608695652174,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.15517241379310345,6.0,0.2608695652173913,5.0,0.5
NM_001310321,MFGE8,58.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.27586206896551724,8.0,0.34782608695652173,4.0,0.4,14.0,0.2413793103448276,11.0,0.4782608695652174,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.15517241379310345,6.0,0.2608695652173913,5.0,0.5
NM_001310319,MFGE8,58.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.27586206896551724,8.0,0.34782608695652173,4.0,0.4,14.0,0.2413793103448276,11.0,0.4782608695652174,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.15517241379310345,6.0,0.2608695652173913,5.0,0.5
NM_175078,KRT77,62.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.20967741935483872,4.0,0.16666666666666666,1.0,1.0,35.0,0.5645161290322581,17.0,0.7083333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
