symbol,probes,importance,enhancer,A_ratio,B_ratio,C_ratio,D_ratio,A_imp_ratio,B_imp_ratio,C_imp_ratio,D_imp_ratio,transcript,class
DLX6,133.0,42.0,7.0,0.05263157894736842,0.06015037593984962,0.03759398496240601,0.022556390977443608,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.0,NM_005222,B
DLX6-AS1,133.0,42.0,7.0,0.05263157894736842,0.06015037593984962,0.03759398496240601,0.022556390977443608,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.0,NR_015448,B
EDAR,36.0,11.0,1.0,0.6944444444444444,0.027777777777777776,0.1388888888888889,0.0,0.7272727272727273,0.0,0.2727272727272727,0.0,NM_022336,A
ENTHD1,16.0,6.0,0.0,0.0625,0.5,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,NM_152512,B
FAM13A,16.0,5.0,5.0,0.3125,0.0,0.1875,0.0,0.6,0.0,0.4,0.0,"NM_001015045, NM_001265579, NM_001265578, NM_001265580",A
GACAT3,22.0,14.0,7.0,0.5454545454545454,0.0,0.045454545454545456,0.0,0.7142857142857143,0.0,0.0,0.0,NR_126559,A
GH1,142.0,50.0,10.0,0.04929577464788732,0.20422535211267606,0.20422535211267606,0.04929577464788732,0.04,0.36,0.38,0.0,"NM_000515, NM_022560, NM_022559","B, C"
GH2,123.0,38.0,5.0,0.04065040650406504,0.18699186991869918,0.17886178861788618,0.04878048780487805,0.05263157894736842,0.3684210526315789,0.34210526315789475,0.0,"NM_022557, NM_022558, NM_022556, NM_002059",B
GRAP2,25.0,9.0,0.0,0.04,0.32,0.16,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0,NM_004810,B
HAPLN3,66.0,22.0,8.0,0.015151515151515152,0.22727272727272727,0.25757575757575757,0.0,0.0,0.3181818181818182,0.5454545454545454,0.0,"NM_001307952, NM_178232",C
HEPACAM2,27.0,10.0,0.0,0.07407407407407407,0.0,0.0,0.2962962962962963,0.1,0.0,0.0,0.0,"NM_198151, NM_001288804, NM_001288810, NM_001039372",D
HORMAD2,18.0,10.0,1.0,0.2222222222222222,0.2222222222222222,0.6111111111111112,0.0,0.1,0.1,0.8,0.0,NM_152510,C
HORMAD2-AS1,18.0,10.0,1.0,0.2222222222222222,0.2222222222222222,0.6111111111111112,0.0,0.1,0.1,0.8,0.0,NR_110541,C
ICAM2,92.0,47.0,9.0,0.07608695652173914,0.2717391304347826,0.25,0.021739130434782608,0.0425531914893617,0.3829787234042553,0.3617021276595745,0.0,"NM_000873, NM_001099789, NM_001099788, NM_001099787, NM_001099786",B
KRT1,61.0,20.0,0.0,0.0,0.21311475409836064,0.4918032786885246,0.0,0.0,0.15,0.65,0.0,NM_006121,C
KRT3,73.0,27.0,3.0,0.0,0.273972602739726,0.5753424657534246,0.0,0.0,0.37037037037037035,0.8518518518518519,0.0,NM_057088,C
KRT33A,71.0,23.0,0.0,0.09859154929577464,0.3380281690140845,0.0,0.0,0.13043478260869565,0.34782608695652173,0.0,0.0,NM_004138,B
KRT33B,77.0,25.0,1.0,0.09090909090909091,0.33766233766233766,0.0,0.025974025974025976,0.16,0.36,0.0,0.0,NM_002279,B
KRT34,85.0,26.0,1.0,0.08235294117647059,0.3058823529411765,0.0,0.023529411764705882,0.15384615384615385,0.34615384615384615,0.0,0.0,NM_021013,B
KRT4,85.0,27.0,4.0,0.0,0.24705882352941178,0.5529411764705883,0.0,0.0,0.37037037037037035,0.8148148148148148,0.0,NM_002272,C
KRT76,77.0,29.0,2.0,0.0,0.2597402597402597,0.5974025974025974,0.0,0.0,0.3103448275862069,0.8620689655172413,0.0,NM_015848,C
KRT77,62.0,24.0,1.0,0.0,0.20967741935483872,0.5645161290322581,0.0,0.0,0.16666666666666666,0.7083333333333334,0.0,NM_175078,C
KRT78,89.0,32.0,6.0,0.0,0.2247191011235955,0.5955056179775281,0.0,0.0,0.3125,0.84375,0.0,"NM_001300814, NM_173352",C
KRT79,84.0,29.0,4.0,0.0,0.2261904761904762,0.5952380952380952,0.0,0.0,0.3448275862068966,0.8275862068965517,0.0,NM_175834,C
KRT8,90.0,29.0,6.0,0.0,0.2,0.5333333333333333,0.011111111111111112,0.0,0.27586206896551724,0.8275862068965517,0.0,NM_002273,C
KRTAP16-1,64.0,22.0,0.0,0.1875,0.34375,0.0,0.0,0.3181818181818182,0.3181818181818182,0.0,0.0,NM_001146182,B
KRTAP17-1,65.0,22.0,0.0,0.18461538461538463,0.3384615384615385,0.0,0.0,0.3181818181818182,0.3181818181818182,0.0,0.0,NM_031964,B
KRTAP29-1,65.0,22.0,0.0,0.18461538461538463,0.35384615384615387,0.0,0.0,0.3181818181818182,0.3181818181818182,0.0,0.0,NM_001257309,B
KRTAP9-2,51.0,16.0,0.0,0.17647058823529413,0.1568627450980392,0.0,0.0,0.25,0.0625,0.0,0.0,NM_031961,A
KRTAP9-3,52.0,16.0,0.0,0.17307692307692307,0.15384615384615385,0.0,0.0,0.25,0.0625,0.0,0.0,NM_031962,A
KRTAP9-7,56.0,17.0,0.0,0.19642857142857142,0.26785714285714285,0.0,0.0,0.35294117647058826,0.23529411764705882,0.0,0.0,NM_001277332,B
KRTAP9-8,52.0,16.0,0.0,0.17307692307692307,0.15384615384615385,0.0,0.0,0.25,0.0625,0.0,0.0,NM_031963,A
KRTAP9-9,59.0,18.0,0.0,0.15254237288135594,0.2033898305084746,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,NM_030975,B
LCTL,59.0,18.0,6.0,0.06779661016949153,0.0847457627118644,0.11864406779661017,0.01694915254237288,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.0,"NM_001278562, NM_207338, NR_103739",C
LINC00606,34.0,12.0,1.0,0.0,0.058823529411764705,0.35294117647058826,0.0,0.0,0.08333333333333333,0.6666666666666666,0.0,NR_027102,C
LINC01169,59.0,18.0,6.0,0.06779661016949153,0.0847457627118644,0.15254237288135594,0.01694915254237288,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.0,NR_110372,C
LIPF,27.0,9.0,0.0,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,"NM_001198828, NM_001198829, NM_001198830, NM_004190",A
LIPJ,26.0,10.0,1.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,NM_001010939,B
LOC100128531,37.0,14.0,2.0,0.02702702702702703,0.32432432432432434,0.10810810810810811,0.02702702702702703,0.07142857142857142,0.5,0.2857142857142857,0.0,NR_038941,B
LOC101926966,27.0,10.0,3.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,NR_110201,C
