,TSS200,TSS,promoter,Body,3UTR,CGI_TSS200,CGI_promoter,CGI_Body,CGI_3UTR,CGI,shore,shelf,450k_Enhancer,Phantom4_Enhancers,Phantom5_Enhancers,DMR,RDMR,CDMR,HMM_Island,Regulatory_Feature,DNase_Hypersensitivity,OpenChromatin,TFBS_Evidence
21000,0.07166666666666667,0.20823809523809525,0.3098095238095238,0.3842857142857143,0.04690476190476191,0.016428571428571428,0.04566666666666667,0.08466666666666667,0.006571428571428572,0.1818095238095238,0.43366666666666664,0.5603333333333333,0.2755714285714286,0.01876190476190476,0.019952380952380954,0.020095238095238097,0.036476190476190475,0.01695238095238095,0.38052380952380954,0.21714285714285714,0.5867142857142857,0.16314285714285715,0.12585714285714286
22000,0.07227272727272727,0.20945454545454545,0.31086363636363634,0.38313636363636366,0.04640909090909091,0.016863636363636365,0.04631818181818182,0.08422727272727273,0.006409090909090909,0.18259090909090908,0.435,0.5606818181818182,0.27486363636363637,0.019,0.019909090909090908,0.020181818181818183,0.036227272727272726,0.017,0.38163636363636366,0.21963636363636363,0.5855454545454546,0.16318181818181818,0.12613636363636363
23000,0.0721304347826087,0.2095217391304348,0.3109130434782609,0.3829130434782609,0.04626086956521739,0.01717391304347826,0.04682608695652174,0.08473913043478261,0.006391304347826087,0.18343478260869564,0.43621739130434783,0.5620869565217391,0.27169565217391306,0.019130434782608695,0.020043478260869566,0.020043478260869566,0.036043478260869566,0.01708695652173913,0.3839130434782609,0.22104347826086956,0.5859565217391305,0.1624782608695652,0.12517391304347827
24000,0.072,0.21004166666666665,0.31083333333333335,0.384,0.04616666666666667,0.017583333333333333,0.04754166666666667,0.08475,0.006291666666666667,0.184625,0.438,0.5633333333333334,0.27066666666666667,0.01925,0.02025,0.020166666666666666,0.036208333333333335,0.017208333333333332,0.3847083333333333,0.22279166666666667,0.5855,0.16229166666666667,0.12520833333333334
25000,0.07148,0.21044,0.31092,0.38428,0.04592,0.01768,0.04796,0.08448,0.00624,0.18464,0.43892,0.56364,0.27004,0.01956,0.0202,0.02024,0.03604,0.0172,0.3858,0.22328,0.58364,0.16232,0.12524
26000,0.07165384615384615,0.21057692307692308,0.31165384615384617,0.3843076923076923,0.04557692307692308,0.017923076923076924,0.048615384615384616,0.08434615384615385,0.006230769230769231,0.18523076923076923,0.43976923076923075,0.5637692307692308,0.2698846153846154,0.019923076923076922,0.020153846153846154,0.020576923076923076,0.03588461538461538,0.017,0.3874230769230769,0.2241923076923077,0.5831538461538461,0.16192307692307692,0.12546153846153846
27000,0.07181481481481482,0.2117777777777778,0.31222222222222223,0.38455555555555554,0.04518518518518518,0.018222222222222223,0.0497037037037037,0.08485185185185184,0.006074074074074074,0.1865925925925926,0.44125925925925924,0.5643333333333334,0.26955555555555555,0.020259259259259258,0.02011111111111111,0.020703703703703703,0.03585185185185185,0.016925925925925928,0.389037037037037,0.22518518518518518,0.582925925925926,0.16174074074074074,0.12514814814814815
28000,0.07217857142857143,0.21246428571428572,0.3129642857142857,0.3837857142857143,0.04510714285714286,0.018571428571428572,0.05039285714285714,0.08467857142857142,0.006142857142857143,0.18696428571428572,0.44192857142857145,0.5650714285714286,0.2685,0.020178571428571428,0.02032142857142857,0.02085714285714286,0.03585714285714286,0.016928571428571428,0.38989285714285715,0.22560714285714287,0.5818571428571429,0.16164285714285714,0.125
29000,0.07237931034482759,0.2122758620689655,0.3127241379310345,0.38368965517241377,0.04503448275862069,0.01896551724137931,0.05096551724137931,0.08489655172413793,0.006103448275862069,0.18755172413793103,0.44262068965517243,0.5656206896551724,0.26834482758620687,0.020620689655172414,0.02010344827586207,0.020931034482758622,0.03575862068965517,0.01689655172413793,0.39179310344827584,0.22686206896551725,0.5808620689655173,0.1617241379310345,0.12520689655172415
30000,0.07263333333333333,0.21236666666666668,0.312,0.38406666666666667,0.044833333333333336,0.0192,0.05123333333333333,0.085,0.0061,0.18816666666666668,0.4429666666666667,0.5654,0.268,0.0206,0.020066666666666667,0.0211,0.03576666666666667,0.016933333333333335,0.39353333333333335,0.22773333333333334,0.5806333333333333,0.16176666666666667,0.12526666666666667
